image_path,true_label,pred_label,confidence
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1).jpg,Blight,Blight,0.6538981199264526
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (100).jpg,Blight,Blight,0.7915903329849243
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1001).JPG,Blight,Blight,0.573915421962738
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1003).JPG,Blight,Blight,0.7449737787246704
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1006).JPG,Blight,Gray_Leaf_Spot,0.6797118782997131
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (101).jpg,Blight,Blight,0.5613090991973877
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1015).jpg,Blight,Blight,0.7365543842315674
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1029).JPG,Blight,Gray_Leaf_Spot,0.6774581074714661
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1035).JPG,Blight,Blight,0.5238620638847351
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1043).JPG,Blight,Blight,0.5337930917739868
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1049).JPG,Blight,Blight,0.7700530886650085
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (105).jpg,Blight,Blight,0.6969660520553589
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1061).JPG,Blight,Blight,0.6430164575576782
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1066).JPG,Blight,Blight,0.7300810217857361
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1067).JPG,Blight,Blight,0.7218791246414185
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (107).jpg,Blight,Blight,0.7771151661872864
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1071).JPG,Blight,Blight,0.5621482729911804
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1072).JPG,Blight,Blight,0.5212101936340332
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1073).jpg,Blight,Blight,0.655327320098877
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1077).JPG,Blight,Blight,0.7047549486160278
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1080).JPG,Blight,Blight,0.6883923411369324
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1081).jpg,Blight,Blight,0.6008690595626831
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1083).JPG,Blight,Gray_Leaf_Spot,0.5817541480064392
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1091).JPG,Blight,Blight,0.7203419804573059
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (11).jpg,Blight,Blight,0.45164453983306885
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1100).jpg,Blight,Blight,0.6449340581893921
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1103).jpg,Blight,Blight,0.6230591535568237
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1104).jpg,Blight,Blight,0.7061470150947571
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1105).jpg,Blight,Blight,0.6538324952125549
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1106).jpg,Blight,Blight,0.7937150001525879
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1109).jpg,Blight,Blight,0.7584383487701416
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1110).jpg,Blight,Blight,0.6697426438331604
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1111).jpg,Blight,Blight,0.6677713394165039
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1112).jpg,Blight,Common_Rust,0.6388936042785645
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1114).jpg,Blight,Blight,0.5942608118057251
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1116).jpg,Blight,Blight,0.6274188160896301
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1117).jpg,Blight,Blight,0.7878314852714539
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1118).jpg,Blight,Blight,0.7072038054466248
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1121).jpg,Blight,Blight,0.6346851587295532
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1123).jpg,Blight,Blight,0.7032209038734436
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1127).jpg,Blight,Blight,0.4977578818798065
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (113).JPG,Blight,Blight,0.6538223028182983
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1130).jpg,Blight,Blight,0.6756060719490051
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1136).jpg,Blight,Blight,0.7845942378044128
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1138).jpg,Blight,Blight,0.6292938590049744
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (1139).jpg,Blight,Blight,0.6961673498153687
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (114).JPG,Blight,Blight,0.47470834851264954
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (116).JPG,Blight,Blight,0.6754574775695801
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (13).jpg,Blight,Blight,0.6488144993782043
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (133).JPG,Blight,Blight,0.7031650543212891
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (136).JPG,Blight,Blight,0.5171858072280884
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (147).jpg,Blight,Blight,0.5676864385604858
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (149).JPG,Blight,Blight,0.6917680501937866
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (15).jpg,Blight,Common_Rust,0.5416179895401001
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (150).JPG,Blight,Blight,0.7848911285400391
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (152).JPG,Blight,Blight,0.48529621958732605
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (153).JPG,Blight,Blight,0.7297989726066589
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (155).JPG,Blight,Blight,0.7270361185073853
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (16).jpg,Blight,Blight,0.7173622846603394
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (162).jpg,Blight,Blight,0.5033954381942749
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (17).jpg,Blight,Gray_Leaf_Spot,0.6983195543289185
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (190).JPG,Blight,Blight,0.6491864919662476
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (200).JPG,Blight,Blight,0.6234220862388611
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (203).JPG,Blight,Gray_Leaf_Spot,0.5971150398254395
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (21).jpg,Blight,Common_Rust,0.6294823884963989
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (211).JPG,Blight,Blight,0.7919195294380188
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (214).JPG,Blight,Blight,0.5470041036605835
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (217).JPG,Blight,Blight,0.63893723487854
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (222).JPG,Blight,Blight,0.7951611280441284
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (225).JPG,Blight,Blight,0.7578052878379822
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (23).jpg,Blight,Blight,0.7860463261604309
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (230).JPG,Blight,Blight,0.6004133224487305
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (234).JPG,Blight,Blight,0.7927550673484802
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (237).JPG,Blight,Gray_Leaf_Spot,0.5255049467086792
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (242).JPG,Blight,Blight,0.7409846186637878
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (245).JPG,Blight,Blight,0.7354691624641418
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (246).jpg,Blight,Blight,0.7778091430664062
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (248).JPG,Blight,Blight,0.7917836308479309
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (25).jpg,Blight,Common_Rust,0.5907636880874634
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (251).JPG,Blight,Blight,0.7525776028633118
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (26).jpg,Blight,Blight,0.6665125489234924
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (265).JPG,Blight,Blight,0.7781721353530884
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (267).JPG,Blight,Blight,0.7141027450561523
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (270).JPG,Blight,Blight,0.6884168386459351
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (273).JPG,Blight,Blight,0.7419865131378174
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (275).jpg,Blight,Gray_Leaf_Spot,0.3869624733924866
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (277).JPG,Blight,Blight,0.6094192266464233
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (29).jpg,Blight,Blight,0.7694896459579468
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (295).JPG,Blight,Blight,0.5701005458831787
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (3).jpg,Blight,Common_Rust,0.5268576741218567
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (303).jpg,Blight,Blight,0.7109266519546509
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (310).JPG,Blight,Gray_Leaf_Spot,0.6688681840896606
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (314).JPG,Blight,Blight,0.6586158871650696
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (318).JPG,Blight,Gray_Leaf_Spot,0.7517498731613159
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (32).jpg,Blight,Blight,0.41042783856391907
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (33).jpg,Blight,Blight,0.7315482497215271
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (331).JPG,Blight,Gray_Leaf_Spot,0.5767117738723755
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (336).JPG,Blight,Blight,0.7615042328834534
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (337).JPG,Blight,Blight,0.7626761794090271
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (34).jpg,Blight,Blight,0.525098443031311
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (340).JPG,Blight,Blight,0.7783445119857788
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (342).JPG,Blight,Blight,0.7801747918128967
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (344).JPG,Blight,Gray_Leaf_Spot,0.6006918549537659
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (346).JPG,Blight,Blight,0.55625981092453
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (347).JPG,Blight,Blight,0.5764642357826233
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (352).JPG,Blight,Gray_Leaf_Spot,0.608393132686615
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (355).JPG,Blight,Blight,0.650725245475769
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (358).JPG,Blight,Blight,0.7501877546310425
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (361).JPG,Blight,Gray_Leaf_Spot,0.5309988856315613
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (363).JPG,Blight,Blight,0.6021878123283386
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (369).JPG,Blight,Gray_Leaf_Spot,0.7727389931678772
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (37).jpg,Blight,Blight,0.6174268126487732
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (371).JPG,Blight,Blight,0.653898298740387
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (374).JPG,Blight,Blight,0.7209063768386841
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (375).JPG,Blight,Blight,0.7673699259757996
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (376).JPG,Blight,Blight,0.758617103099823
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (378).JPG,Blight,Blight,0.7374975085258484
/home/23ucs747/mini-project-sem5/dataset_split/train/Blight/Corn_Blight (379).JPG,Blight,Common_Rust,0.44880202412605286
