index,source,orig_class,path
0,banana,cordana,data/BananaLSD/OriginalSet/cordana/0.jpeg
1,banana,cordana,data/BananaLSD/OriginalSet/cordana/1.jpeg
2,banana,cordana,data/BananaLSD/OriginalSet/cordana/10.jpeg
3,banana,cordana,data/BananaLSD/OriginalSet/cordana/100.jpeg
4,banana,cordana,data/BananaLSD/OriginalSet/cordana/101.jpeg
5,banana,cordana,data/BananaLSD/OriginalSet/cordana/102.jpeg
6,banana,cordana,data/BananaLSD/OriginalSet/cordana/103.jpeg
7,banana,cordana,data/BananaLSD/OriginalSet/cordana/104.jpeg
8,banana,cordana,data/BananaLSD/OriginalSet/cordana/105.jpeg
9,banana,cordana,data/BananaLSD/OriginalSet/cordana/106.jpeg
10,banana,cordana,data/BananaLSD/OriginalSet/cordana/107.jpeg
11,banana,cordana,data/BananaLSD/OriginalSet/cordana/108.jpeg
12,banana,cordana,data/BananaLSD/OriginalSet/cordana/109.jpeg
13,banana,cordana,data/BananaLSD/OriginalSet/cordana/11.jpeg
14,banana,cordana,data/BananaLSD/OriginalSet/cordana/110.jpeg
15,banana,cordana,data/BananaLSD/OriginalSet/cordana/111.jpeg
16,banana,cordana,data/BananaLSD/OriginalSet/cordana/112.jpeg
17,banana,cordana,data/BananaLSD/OriginalSet/cordana/113.jpeg
18,banana,cordana,data/BananaLSD/OriginalSet/cordana/114.jpeg
19,banana,cordana,data/BananaLSD/OriginalSet/cordana/115.jpeg
20,banana,cordana,data/BananaLSD/OriginalSet/cordana/116.jpeg
21,banana,cordana,data/BananaLSD/OriginalSet/cordana/117.jpeg
22,banana,cordana,data/BananaLSD/OriginalSet/cordana/118.jpeg
23,banana,cordana,data/BananaLSD/OriginalSet/cordana/119.jpeg
24,banana,cordana,data/BananaLSD/OriginalSet/cordana/12.jpeg
25,banana,cordana,data/BananaLSD/OriginalSet/cordana/120.jpeg
26,banana,cordana,data/BananaLSD/OriginalSet/cordana/121.jpeg
27,banana,cordana,data/BananaLSD/OriginalSet/cordana/122.jpeg
28,banana,cordana,data/BananaLSD/OriginalSet/cordana/123.jpeg
29,banana,cordana,data/BananaLSD/OriginalSet/cordana/124.jpeg
30,banana,cordana,data/BananaLSD/OriginalSet/cordana/125.jpeg
31,banana,cordana,data/BananaLSD/OriginalSet/cordana/126.jpeg
32,banana,cordana,data/BananaLSD/OriginalSet/cordana/127.jpeg
33,banana,cordana,data/BananaLSD/OriginalSet/cordana/128.jpeg
34,banana,cordana,data/BananaLSD/OriginalSet/cordana/129.jpeg
35,banana,cordana,data/BananaLSD/OriginalSet/cordana/13.jpeg
36,banana,cordana,data/BananaLSD/OriginalSet/cordana/130.jpeg
37,banana,cordana,data/BananaLSD/OriginalSet/cordana/131.jpeg
38,banana,cordana,data/BananaLSD/OriginalSet/cordana/132.jpeg
39,banana,cordana,data/BananaLSD/OriginalSet/cordana/133.jpeg
40,banana,cordana,data/BananaLSD/OriginalSet/cordana/134.jpeg
41,banana,cordana,data/BananaLSD/OriginalSet/cordana/135.jpeg
42,banana,cordana,data/BananaLSD/OriginalSet/cordana/136.jpeg
43,banana,cordana,data/BananaLSD/OriginalSet/cordana/137.jpeg
44,banana,cordana,data/BananaLSD/OriginalSet/cordana/138.jpeg
45,banana,cordana,data/BananaLSD/OriginalSet/cordana/139.jpeg
46,banana,cordana,data/BananaLSD/OriginalSet/cordana/14.jpeg
47,banana,cordana,data/BananaLSD/OriginalSet/cordana/140.jpeg
48,banana,cordana,data/BananaLSD/OriginalSet/cordana/141.jpeg
49,banana,cordana,data/BananaLSD/OriginalSet/cordana/142.jpeg
50,banana,cordana,data/BananaLSD/OriginalSet/cordana/143.jpeg
51,banana,cordana,data/BananaLSD/OriginalSet/cordana/144.jpeg
52,banana,cordana,data/BananaLSD/OriginalSet/cordana/145.jpeg
53,banana,cordana,data/BananaLSD/OriginalSet/cordana/146.jpeg
54,banana,cordana,data/BananaLSD/OriginalSet/cordana/147.jpeg
55,banana,cordana,data/BananaLSD/OriginalSet/cordana/148.jpeg
56,banana,cordana,data/BananaLSD/OriginalSet/cordana/149.jpeg
57,banana,cordana,data/BananaLSD/OriginalSet/cordana/15.jpeg
58,banana,cordana,data/BananaLSD/OriginalSet/cordana/150.jpeg
59,banana,cordana,data/BananaLSD/OriginalSet/cordana/151.jpeg
60,banana,cordana,data/BananaLSD/OriginalSet/cordana/152.jpeg
61,banana,cordana,data/BananaLSD/OriginalSet/cordana/153.jpeg
62,banana,cordana,data/BananaLSD/OriginalSet/cordana/154.jpeg
63,banana,cordana,data/BananaLSD/OriginalSet/cordana/155.jpeg
64,banana,cordana,data/BananaLSD/OriginalSet/cordana/156.jpeg
65,banana,cordana,data/BananaLSD/OriginalSet/cordana/157.jpeg
66,banana,cordana,data/BananaLSD/OriginalSet/cordana/158.jpeg
67,banana,cordana,data/BananaLSD/OriginalSet/cordana/159.jpeg
68,banana,cordana,data/BananaLSD/OriginalSet/cordana/16.jpeg
69,banana,cordana,data/BananaLSD/OriginalSet/cordana/160.jpeg
70,banana,cordana,data/BananaLSD/OriginalSet/cordana/161.jpeg
71,banana,cordana,data/BananaLSD/OriginalSet/cordana/17.jpeg
72,banana,cordana,data/BananaLSD/OriginalSet/cordana/18.jpeg
73,banana,cordana,data/BananaLSD/OriginalSet/cordana/19.jpeg
74,banana,cordana,data/BananaLSD/OriginalSet/cordana/2.jpeg
75,banana,cordana,data/BananaLSD/OriginalSet/cordana/20.jpeg
76,banana,cordana,data/BananaLSD/OriginalSet/cordana/21.jpeg
77,banana,cordana,data/BananaLSD/OriginalSet/cordana/22.jpeg
78,banana,cordana,data/BananaLSD/OriginalSet/cordana/23.jpeg
79,banana,cordana,data/BananaLSD/OriginalSet/cordana/24.jpeg
80,banana,cordana,data/BananaLSD/OriginalSet/cordana/25.jpeg
